CheckingAcctStat,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRatePecnt,SexAndStatus,OtherDetorsGuarantors,PresentResidenceTime,Property,Age,OtherInstalments,Housing,ExistingCreditsAtBank,Job,NumberDependents,Telephone,ForeignWorker,CreditStatus
A11,0.647058824,A32,A49,0.223286013,A61,A72,0.666666667,A92,A101,1,A122,0.089285714,A143,A151,0,A173,0,A191,A201,1
A14,0.294117647,A32,A40,0.110322439,A65,A72,1,A93,A101,0,A122,0.625,A143,A152,0,A173,0,A191,A201,0
A11,0.382352941,A34,A41,0.32667547,A62,A74,0,A94,A101,1,A123,0.089285714,A143,A151,0.333333333,A173,0,A191,A201,0
A12,0.205882353,A34,A42,0.336249587,A61,A75,0.333333333,A93,A101,0,A124,0.392857143,A143,A152,0,A173,0,A192,A201,0
A11,0.382352941,A32,A45,0.64641796,A61,A72,0,A91,A101,0,A124,0.267857143,A143,A152,0,A172,0,A192,A201,1
A14,0.161764706,A32,A40,0.181908221,A65,A73,0.666666667,A93,A101,0.333333333,A124,0.178571429,A143,A152,0,A173,0,A191,A201,0
A14,0.117647059,A34,A43,0.025696049,A61,A75,1,A93,A101,1,A121,0.589285714,A143,A152,0.666666667,A173,0,A191,A201,0
A12,0.073529412,A31,A40,0.065313085,A62,A74,0.333333333,A93,A101,0.666666667,A124,0.178571429,A143,A152,0,A173,0,A191,A201,1
A11,0.117647059,A32,A42,0.075382414,A61,A73,0.333333333,A92,A102,0.666666667,A122,0.196428571,A143,A152,0,A173,0,A191,A201,0
A14,0.088235294,A32,A40,0.061296357,A61,A73,0.333333333,A92,A101,1,A123,0.803571429,A143,A152,0,A173,0,A192,A201,0
A14,0.161764706,A32,A43,0.182568504,A61,A75,1,A92,A101,0.333333333,A123,0.625,A141,A151,0,A174,0,A192,A201,0
A14,0.117647059,A33,A41,0.068944646,A61,A73,1,A94,A101,1,A121,0.392857143,A143,A151,0,A173,0,A191,A201,0
A14,0.029411765,A34,A40,0.358259051,A61,A74,0,A93,A101,0.666666667,A124,0.464285714,A143,A152,0.333333333,A174,1,A192,A201,0
A13,0.029411765,A34,A40,0.05771982,A61,A73,0,A93,A101,0,A121,0.982142857,A143,A152,0.666666667,A171,1,A191,A202,0
A11,0.073529412,A32,A43,0.061406405,A61,A72,0.666666667,A92,A101,1,A122,0.053571429,A143,A151,0,A173,0,A191,A201,1
A13,0.382352941,A34,A43,0.152250468,A61,A75,1,A93,A101,1,A122,0.5,A143,A152,0,A173,0,A191,A201,0
A11,0.117647059,A34,A40,0.252723671,A61,A75,0.666666667,A93,A102,1,A122,0.428571429,A143,A151,0.333333333,A173,0,A192,A201,1
A12,0.117647059,A30,A48,0.063827446,A61,A73,0.333333333,A93,A101,0.333333333,A121,0.214285714,A143,A152,0,A172,0,A192,A201,0
A14,0.117647059,A34,A42,0.092714867,A61,A75,1,A93,A101,1,A121,0.428571429,A143,A152,0.666666667,A173,0,A192,A201,0
A14,0.117647059,A32,A41,0.243479696,A65,A72,0,A92,A101,1,A123,0.017857143,A143,A151,0,A173,0,A191,A201,0
A14,0.117647059,A32,A49,0.071090569,A61,A74,0.333333333,A93,A101,1,A123,0.303571429,A143,A152,0,A173,0,A192,A201,0
A11,0.073529412,A32,A43,0.061296357,A61,A74,0.666666667,A93,A101,1,A121,0.714285714,A143,A152,0,A173,0,A191,A201,0
A14,0.117647059,A32,A42,0.048035655,A63,A73,1,A92,A101,1,A123,0.178571429,A143,A151,0,A172,0,A191,A201,1
A11,0.294117647,A34,A41,0.33944096,A61,A75,0.333333333,A92,A101,1,A124,0.446428571,A143,A153,0.333333333,A174,1,A192,A201,0
A14,0.294117647,A33,A40,0.125894134,A61,A75,1,A93,A101,1,A123,0.5,A143,A152,0.333333333,A172,1,A191,A201,1
A14,0.382352941,A34,A43,0.142016067,A61,A73,1,A92,A101,0.333333333,A123,0.25,A143,A152,0,A173,0,A192,A201,0
A14,0.470588235,A33,A43,0.231319467,A61,A73,1,A92,A101,1,A121,0.267857143,A143,A152,0.333333333,A173,0,A191,A201,0
A11,0.161764706,A32,A42,0.087762738,A61,A72,1,A92,A103,0,A122,0.482142857,A143,A151,0,A173,0,A191,A201,0
A12,0.029411765,A31,A40,0.037471113,A62,A72,0,A92,A101,0,A122,0.232142857,A142,A152,0,A172,0,A191,A201,1
A14,0.382352941,A31,A41,0.398096181,A65,A71,1,A92,A101,0,A121,0.607142857,A141,A152,0,A174,0,A192,A201,1
A12,0.205882353,A32,A41,0.700231099,A61,A71,0.666666667,A92,A101,1,A124,0.339285714,A143,A153,0,A174,0,A192,A201,1
A11,0.205882353,A32,A43,0.117695609,A61,A72,1,A92,A101,0,A123,0.142857143,A142,A152,0,A173,0,A191,A201,0
A12,0.044117647,A32,A43,0.119126224,A61,A73,0.666666667,A93,A103,0.333333333,A121,0.267857143,A143,A152,0,A173,0,A191,A201,0
A14,0.029411765,A32,A43,0.060305932,A62,A75,0.333333333,A93,A101,1,A124,0.410714286,A141,A153,0,A173,1,A192,A201,0
A12,0.558823529,A34,A49,0.313854958,A61,A74,0.333333333,A92,A101,0,A121,0.392857143,A141,A152,0.333333333,A172,0,A191,A201,0
A12,0.117647059,A32,A42,0.040332343,A64,A72,0,A92,A101,1,A121,0,A143,A151,0,A172,0,A191,A201,0
A14,0.294117647,A32,A42,0.289479476,A62,A73,1,A93,A101,0,A123,0.107142857,A142,A152,0,A173,0,A191,A201,0
A13,0.205882353,A32,A42,0.143831848,A61,A73,0.333333333,A93,A101,0,A121,0.267857143,A143,A152,0,A172,1,A191,A201,1
A14,0.117647059,A34,A43,0.030097942,A65,A75,1,A92,A101,0.666666667,A122,0.25,A141,A152,0,A172,1,A191,A201,1
A12,0.117647059,A33,A43,0.018432926,A61,A73,1,A94,A102,1,A121,0.017857143,A143,A151,0.333333333,A173,0,A191,A201,0
A12,0.073529412,A32,A43,0.029712776,A63,A73,1,A92,A101,0.666666667,A121,0.839285714,A143,A152,0,A172,0,A191,A201,0
A11,0.470588235,A34,A42,0.115439639,A61,A73,0.666666667,A94,A101,0.333333333,A122,0.482142857,A143,A152,0.333333333,A173,0,A192,A201,0
A11,0.073529412,A34,A45,0.057114559,A62,A75,0.666666667,A93,A103,1,A121,0.517857143,A143,A152,0.333333333,A173,1,A191,A202,0
A14,0.294117647,A34,A41,0.362715968,A65,A73,0.333333333,A93,A101,1,A122,0.482142857,A143,A152,0.333333333,A174,1,A192,A201,0
A12,0.073529412,A32,A43,0.011444921,A61,A73,1,A93,A101,0.666666667,A121,0.089285714,A143,A152,0,A173,0,A191,A201,0
A11,0.117647059,A32,A43,0.02525586,A61,A75,1,A93,A101,1,A121,0.678571429,A142,A152,0,A172,0,A191,A201,1
A12,0.823529412,A31,A410,0.79960383,A62,A75,0.666666667,A92,A101,1,A124,0.732142857,A141,A153,0.333333333,A174,0,A192,A201,1
A14,0.205882353,A34,A43,0.050566744,A65,A73,1,A93,A101,0.666666667,A122,0.178571429,A143,A152,0.333333333,A173,0,A192,A201,0
A12,0.823529412,A33,A43,0.394409596,A65,A73,0,A93,A101,0,A121,0.142857143,A143,A152,0,A172,0,A191,A201,0
A12,0.117647059,A34,A43,0.182843623,A61,A73,0,A92,A101,0,A121,0.071428571,A143,A152,0,A172,0,A191,A201,0
A12,0.647058824,A34,A42,0.266644657,A61,A73,0.333333333,A92,A101,0.666666667,A123,0.196428571,A143,A152,0,A174,0,A192,A201,1
A11,0.294117647,A34,A43,0.053978211,A64,A75,1,A92,A101,1,A122,0.678571429,A143,A151,0.333333333,A174,0,A192,A201,0
A14,0.088235294,A32,A48,0.035435237,A65,A74,1,A92,A101,0.666666667,A122,0.375,A143,A152,0,A173,0,A192,A201,0
A11,0.470588235,A32,A42,0.175855618,A61,A75,1,A93,A101,0.333333333,A123,0.410714286,A143,A152,0,A173,1,A191,A201,1
A12,0.058823529,A32,A43,0.028062067,A61,A74,1,A92,A103,0.333333333,A121,0.446428571,A143,A152,0,A172,0,A191,A201,0
A12,0.294117647,A34,A49,0.141685925,A65,A74,1,A93,A101,0.666666667,A124,0.267857143,A143,A152,0.333333333,A173,1,A192,A201,0
A11,0.294117647,A33,A40,0.25420931,A61,A73,0.666666667,A93,A101,1,A124,0.607142857,A143,A153,0.333333333,A173,1,A191,A201,1
A13,0.117647059,A31,A49,0.019753494,A61,A72,1,A92,A101,0,A121,0.125,A143,A152,0,A171,0,A191,A201,1
A12,0.470588235,A32,A43,0.114064048,A61,A74,1,A93,A101,1,A123,0.089285714,A143,A151,0,A173,0,A191,A201,0
A14,0.073529412,A32,A43,0.134642896,A61,A73,0,A93,A101,0.333333333,A121,0.232142857,A143,A152,0,A173,1,A191,A201,0
A14,0.161764706,A34,A46,0.070540332,A62,A73,1,A92,A101,0.666666667,A123,0.214285714,A143,A152,0,A173,0,A191,A201,0
A14,0.029411765,A34,A43,0.081985254,A61,A75,0.333333333,A94,A101,0.333333333,A121,0.196428571,A143,A151,0.333333333,A173,0,A191,A201,0
A14,0,A34,A40,0.172224056,A61,A74,0,A92,A101,0,A121,0.321428571,A143,A152,0,A173,1,A191,A201,0
A14,0.205882353,A32,A49,0.072521184,A62,A73,0.666666667,A92,A101,1,A122,0.089285714,A143,A151,0,A172,0,A191,A201,0
A14,0.161764706,A32,A41,0.24248927,A61,A73,0.666666667,A93,A101,0.333333333,A123,0.196428571,A143,A152,0,A173,0,A192,A201,0
A12,0.294117647,A32,A40,0.060801144,A61,A72,0.666666667,A92,A101,1,A123,0.107142857,A143,A152,0,A172,0,A192,A201,1
A14,0.117647059,A34,A43,0.077308243,A61,A75,0.333333333,A93,A101,1,A121,0.785714286,A143,A152,0.333333333,A172,0,A192,A201,0
A14,0.073529412,A32,A46,0.197094751,A65,A75,0,A93,A101,1,A121,0.803571429,A143,A152,0,A172,0,A191,A201,0
A14,0.029411765,A32,A44,0.059865742,A63,A73,0,A91,A101,1,A121,0.767857143,A143,A152,0,A173,0,A191,A201,0
A14,0.25,A33,A49,0.128205128,A63,A72,1,A93,A101,0.333333333,A121,0.392857143,A141,A152,0,A172,1,A191,A201,1
A14,0.117647059,A32,A43,0.028942445,A61,A73,1,A94,A101,0.333333333,A121,0.160714286,A143,A152,0,A173,0,A191,A201,0
A14,0.073529412,A32,A49,0.065973369,A61,A74,0.666666667,A92,A101,0.333333333,A123,0.142857143,A143,A152,0.333333333,A173,0,A191,A201,0
A11,0.073529412,A32,A40,0.06448773,A61,A72,0.666666667,A93,A101,0.333333333,A124,0.142857143,A143,A153,0,A174,0,A192,A201,1
A11,0.294117647,A33,A43,0.042588313,A61,A72,1,A94,A101,1,A121,0.517857143,A142,A152,0,A173,0,A191,A201,1
A14,0.294117647,A32,A43,0.071640806,A61,A74,0.666666667,A93,A101,0,A123,0.232142857,A141,A152,0,A173,1,A191,A201,0
A11,0.294117647,A32,A40,0.06223176,A65,A73,1,A92,A101,0.333333333,A122,0.285714286,A143,A152,0,A173,0,A191,A201,1
A14,0.029411765,A34,A43,0.062286783,A61,A73,0,A92,A101,0,A123,0.160714286,A143,A152,0.333333333,A173,0,A192,A201,0
A12,0.602941176,A34,A41,0.238032354,A62,A71,0.666666667,A93,A101,1,A123,0.142857143,A143,A152,0,A173,0,A191,A201,0
A12,0.117647059,A32,A49,0.032518983,A62,A74,0.333333333,A92,A101,1,A121,0.071428571,A143,A151,0,A172,0,A191,A201,0
A13,0.294117647,A34,A43,0.159458567,A65,A73,0.666666667,A93,A101,0.333333333,A123,0.214285714,A143,A152,0.333333333,A173,0,A192,A201,0
A14,0.088235294,A34,A40,0.053978211,A61,A75,0.666666667,A93,A101,1,A121,0.232142857,A143,A152,0.333333333,A172,1,A191,A202,0
A11,0.294117647,A32,A40,0.112963574,A61,A75,1,A93,A102,0,A121,0.464285714,A143,A152,0,A173,0,A191,A201,1
A12,0.073529412,A32,A40,0.162044679,A65,A73,0,A92,A101,0.333333333,A121,0.25,A143,A152,0,A172,0,A191,A201,0
A12,0.382352941,A32,A42,0.197094751,A61,A72,0.333333333,A94,A101,0,A122,0.053571429,A143,A152,0,A173,0,A191,A201,0
A12,0.470588235,A30,A43,0.195554088,A61,A73,1,A92,A101,0,A123,0.410714286,A143,A152,0,A173,0,A192,A201,1
A13,0.117647059,A33,A40,0.109882249,A61,A73,0.333333333,A92,A101,0.333333333,A123,0.303571429,A142,A152,0.333333333,A173,0,A192,A201,0
A11,0.117647059,A32,A41,0.172554198,A61,A75,0.666666667,A93,A101,1,A124,0.285714286,A143,A153,0,A173,0,A192,A201,1
A14,0.117647059,A32,A42,0.072851326,A61,A73,1,A93,A101,0.333333333,A121,0.553571429,A143,A152,0,A173,0,A191,A201,0
A14,0.029411765,A32,A42,0.150104545,A63,A73,0,A93,A101,0.333333333,A123,0.232142857,A143,A152,0,A173,0,A192,A201,0
A14,0.161764706,A32,A44,0.055683944,A63,A74,1,A93,A101,0.666666667,A122,0.303571429,A143,A152,0.333333333,A173,0,A192,A201,0
A14,0.102941176,A34,A40,0.062892044,A61,A72,1,A92,A101,1,A123,0.285714286,A143,A152,0.333333333,A174,0,A191,A201,0
A11,0.294117647,A32,A410,0.082810609,A61,A75,1,A92,A103,1,A121,0.696428571,A143,A152,0,A172,0,A192,A201,0
A14,0.029411765,A32,A42,0.239958182,A61,A72,0,A92,A101,1,A122,0.232142857,A143,A152,0,A173,0,A191,A201,1
A11,0.25,A32,A43,0.087212501,A61,A73,0.666666667,A92,A101,0.333333333,A121,0.107142857,A143,A152,0.333333333,A173,0,A192,A201,1
A12,0.029411765,A32,A43,0.018708044,A61,A72,0.666666667,A94,A101,0.666666667,A121,0.125,A143,A152,0,A172,0,A191,A202,0
A11,0.558823529,A32,A42,0.419940574,A61,A74,0.333333333,A93,A103,1,A122,0.464285714,A143,A153,0,A173,1,A191,A201,0
A11,0.294117647,A31,A42,0.364366678,A61,A72,0.333333333,A91,A101,0,A122,0.642857143,A141,A152,0,A173,0,A192,A201,1
A14,0.205882353,A34,A43,0.046660064,A61,A71,1,A92,A101,1,A123,0.821428571,A143,A152,0.333333333,A171,0,A191,A201,0
A13,0.088235294,A32,A40,0.203532519,A61,A72,0,A93,A103,0,A122,0.321428571,A143,A152,0,A172,1,A191,A201,0
A14,0.470588235,A34,A41,0.307692308,A61,A75,0.333333333,A93,A101,0.333333333,A122,0.285714286,A143,A152,0.333333333,A173,1,A192,A201,0
A14,0.647058824,A34,A43,0.183118741,A65,A75,1,A93,A101,0,A121,0.5,A143,A152,0,A173,0,A192,A201,0
A12,0.205882353,A34,A49,0.090073732,A65,A73,1,A94,A101,1,A121,0.160714286,A141,A152,0.333333333,A173,0,A191,A201,0
A13,0.073529412,A30,A43,0.059810719,A61,A72,1,A93,A101,0.333333333,A123,0.267857143,A143,A152,0.333333333,A174,0,A192,A201,1
A11,0.029411765,A34,A43,0.050566744,A65,A75,1,A93,A101,1,A121,0.857142857,A143,A152,0.333333333,A173,0,A192,A201,0
A12,0.647058824,A30,A410,1,A61,A73,0,A92,A101,0.333333333,A122,0.232142857,A141,A152,0,A174,0,A192,A202,1
A14,0.647058824,A31,A49,0.184824475,A61,A73,0,A92,A101,0,A121,0.142857143,A142,A152,0,A173,0,A191,A201,0
A14,0.294117647,A32,A43,0.161274348,A61,A72,1,A92,A101,1,A122,0.125,A143,A152,0,A173,0,A192,A201,0
A12,0.235294118,A32,A41,0.342137119,A65,A71,0,A91,A101,1,A121,0.732142857,A143,A152,0,A174,0,A192,A201,0
A11,0.647058824,A31,A49,0.409100913,A61,A74,0.333333333,A92,A103,1,A123,0.321428571,A143,A151,0,A173,0,A191,A201,1
A12,0.382352941,A30,A49,0.221745351,A62,A73,1,A92,A101,1,A123,0.125,A143,A151,0.333333333,A172,0,A191,A201,1
A14,0.205882353,A32,A42,0.095411027,A61,A73,1,A93,A101,1,A124,0.5,A141,A153,0.333333333,A173,0,A191,A201,0
A14,0.029411765,A34,A43,0.071750853,A61,A74,0,A92,A101,0.333333333,A123,0.089285714,A143,A151,0.333333333,A173,0,A192,A201,0
A12,0.294117647,A33,A43,0.338560581,A61,A72,0,A93,A101,0.333333333,A123,0.25,A143,A152,0,A173,0,A191,A201,0
A11,0.352941176,A32,A40,0.206668868,A61,A73,0.666666667,A93,A101,0.333333333,A123,0.464285714,A143,A152,0,A172,0,A191,A201,1
A11,0.117647059,A30,A40,0.045779685,A61,A73,1,A93,A101,1,A123,0.517857143,A141,A152,0.333333333,A173,0,A191,A201,1
A11,0.823529412,A33,A49,0.362385826,A61,A75,0.666666667,A93,A101,1,A124,0.785714286,A143,A152,0.333333333,A173,0,A192,A201,1
A12,0.205882353,A34,A49,0.183779025,A61,A71,0.666666667,A94,A101,0.666666667,A123,0.375,A143,A152,0.666666667,A171,1,A192,A201,0
A14,0.161764706,A32,A44,0.034334764,A65,A72,1,A92,A101,0,A121,0.089285714,A143,A152,0,A173,0,A191,A201,0
A14,0.073529412,A32,A44,0.054253329,A61,A72,0,A92,A101,1,A121,0.071428571,A143,A151,0,A173,0,A192,A201,0
A14,0.161764706,A32,A41,0.195994278,A62,A72,0,A92,A101,1,A123,0.071428571,A143,A152,0,A173,0,A192,A201,0
A14,0.294117647,A32,A43,0.174975239,A63,A75,0.666666667,A93,A101,0.333333333,A123,0.214285714,A143,A152,0,A173,1,A192,A201,0
A12,0.823529412,A32,A40,0.758060966,A61,A74,1,A93,A101,0.333333333,A124,0.142857143,A143,A152,0,A174,0,A192,A201,1
A11,0.294117647,A31,A42,0.170518323,A63,A72,1,A93,A101,1,A124,0.196428571,A143,A153,0,A173,1,A192,A201,1
A11,0.294117647,A32,A41,0.147133267,A61,A73,0.666666667,A93,A103,1,A124,0.785714286,A141,A152,0,A173,1,A192,A201,0
A12,0.161764706,A32,A45,0.131011335,A62,A73,0.666666667,A92,A101,0.333333333,A121,0.107142857,A143,A152,0,A172,0,A191,A201,0
A13,0.294117647,A34,A49,0.056399252,A64,A73,0.333333333,A91,A101,1,A121,0.303571429,A143,A152,0.333333333,A173,0,A192,A201,0
A14,0.117647059,A34,A42,0.055463849,A61,A72,0.333333333,A92,A101,1,A122,0.053571429,A143,A151,0.333333333,A172,0,A191,A201,0
A14,0.205882353,A32,A43,0.01006933,A61,A71,0.666666667,A92,A102,1,A121,0.053571429,A143,A151,0,A173,0,A191,A201,1
A11,0.558823529,A34,A45,0.172994388,A61,A71,1,A93,A102,1,A123,0.821428571,A143,A152,0.333333333,A171,0,A191,A201,0
A11,0.117647059,A34,A40,0.024265434,A61,A75,1,A93,A101,0.666666667,A122,0.285714286,A143,A152,0.333333333,A173,0,A191,A201,1
A12,0.117647059,A32,A40,0.035105095,A61,A75,1,A93,A101,1,A123,0.392857143,A141,A152,0,A172,1,A191,A201,1
A14,0.294117647,A34,A41,0.199075603,A61,A75,1,A92,A101,0.333333333,A123,0.392857143,A143,A151,0.333333333,A174,0,A192,A201,0
A12,0.117647059,A32,A43,0.342137119,A65,A71,0.333333333,A93,A101,0,A124,0.589285714,A143,A152,0,A174,0,A192,A201,1
A11,0.294117647,A32,A42,0.207439199,A61,A73,0.333333333,A93,A101,0.333333333,A123,0.142857143,A142,A152,0,A173,0,A191,A201,0
A11,0.205882353,A34,A40,0.204467921,A61,A75,0,A92,A101,1,A121,0.25,A141,A151,0.666666667,A173,0,A192,A201,1
A14,0.117647059,A33,A45,0.071805877,A64,A75,1,A93,A101,1,A124,0.642857143,A143,A153,0.333333333,A173,1,A191,A201,1
A11,0.25,A31,A40,0.076868053,A65,A73,1,A93,A101,0.333333333,A122,0.375,A143,A152,0.333333333,A172,1,A191,A201,1
A14,0.25,A33,A41,0.1509299,A61,A73,0.666666667,A93,A101,0.333333333,A121,0.160714286,A142,A152,0.333333333,A172,0,A191,A201,0
A12,0.117647059,A34,A40,0.096016287,A62,A72,1,A93,A101,0,A123,0.142857143,A143,A152,0,A173,0,A191,A201,0
A13,0.382352941,A33,A49,0.091229229,A61,A75,1,A93,A101,1,A121,0.839285714,A143,A152,0,A174,0,A192,A201,1
A11,0.088235294,A34,A40,0.109552107,A61,A72,0,A93,A101,0.666666667,A121,0.517857143,A143,A151,0.333333333,A172,1,A191,A202,0
A14,0.102941176,A32,A49,0.104104765,A64,A75,0,A91,A101,0.333333333,A121,0.160714286,A143,A152,0,A173,0,A192,A201,0
A14,0.029411765,A32,A43,0.074006823,A61,A74,0.666666667,A93,A101,0.333333333,A122,0.571428571,A143,A152,0,A173,1,A191,A201,0
A14,0.117647059,A32,A40,0.089908661,A61,A75,1,A93,A101,1,A123,0.357142857,A143,A152,0,A174,0,A192,A201,0
A14,0.470588235,A33,A49,0.51293056,A61,A72,0,A91,A101,0,A123,0.160714286,A143,A152,0.333333333,A173,0,A191,A201,1
A11,0.088235294,A34,A42,0.103554528,A65,A72,0.333333333,A92,A102,0.666666667,A121,0.142857143,A143,A151,0.333333333,A173,0,A191,A202,0
A11,0.029411765,A34,A42,0.089248377,A61,A71,1,A93,A101,1,A124,0.303571429,A143,A153,0.666666667,A174,0,A192,A201,0
A14,0.073529412,A32,A42,0.062616925,A61,A73,1,A92,A101,0.333333333,A121,0.125,A143,A151,0,A173,0,A191,A201,0
A12,0.382352941,A34,A42,0.447672499,A61,A74,0.333333333,A93,A101,0.333333333,A122,0.535714286,A143,A152,0,A173,0,A191,A201,1
A14,0.470588235,A30,A45,0.130020909,A61,A73,1,A93,A101,0.333333333,A123,0.142857143,A143,A152,0.333333333,A173,0,A191,A201,0
A11,0.294117647,A32,A40,0.052657643,A61,A72,1,A92,A101,1,A122,0.089285714,A143,A151,0,A173,0,A191,A201,1
A11,0.117647059,A34,A40,0.103004292,A61,A73,0.666666667,A93,A101,0.333333333,A121,0.357142857,A143,A151,0.333333333,A172,1,A191,A202,0
